TroopID,Total_Booth_Signups,Number_of_Booths,Average_Booth_Signups,Min_Booth_Signups,Max_Booth_Signups
2554,0.0,11,0.0,0.0,0.0
2570,0.0,1,0.0,0.0,0.0
2603,0.0,3,0.0,0.0,0.0
2626,0.0,5,0.0,0.0,0.0
2674,0.0,8,0.0,0.0,0.0
2820,0.0,22,0.0,0.0,0.0
2877,0.0,20,0.0,0.0,0.0
3065,0.0,18,0.0,0.0,0.0
3296,0.0,16,0.0,0.0,0.0
3312,0.0,6,0.0,0.0,0.0
3315,0.0,19,0.0,0.0,0.0
3475,0.0,29,0.0,0.0,0.0
3630,0.0,13,0.0,0.0,0.0
3799,0.0,8,0.0,0.0,0.0
3819,0.0,19,0.0,0.0,0.0
3822,0.0,59,0.0,0.0,0.0
3824,0.0,16,0.0,0.0,0.0
3827,0.0,3,0.0,0.0,0.0
3828,0.0,10,0.0,0.0,0.0
3829,0.0,85,0.0,0.0,0.0
3839,0.0,31,0.0,0.0,0.0
3997,0.0,16,0.0,0.0,0.0
4208,0.0,11,0.0,0.0,0.0
7223,0.0,9,0.0,0.0,0.0
872,0.0,68,0.0,0.0,0.0
9670,0.0,4,0.0,0.0,0.0
Troop,0.0,1,0.0,0.0,0.0
nan,0.0,6,0.0,0.0,0.0
